#rcut	Energy
0.7	-2200.9325498932
0.9	-2201.4075910410
1.1	-2201.5041301787
1.4	-2201.5696415980
1.5	-2201.5782510484
1.7	-2201.5881762964
1.9	-2201.5929754386
2.0	-2201.5945305837
