 Gradient RMS norm:   0.102783988548442     
 Gradient RMS norm:   2.279929119392867E-002
 Gradient RMS norm:   1.899402387640467E-002
 Gradient RMS norm:   1.666778063014319E-002
 Gradient RMS norm:   6.055728802171151E-002
 Gradient RMS norm:   1.286969029399023E-002
 Gradient RMS norm:   1.216416511682916E-002
 Gradient RMS norm:   1.004187821642134E-002
 Gradient RMS norm:   1.004564133626579E-002
 Gradient RMS norm:   1.078636442847439E-002
 Gradient RMS norm:   8.760488780612009E-003
 Gradient RMS norm:   7.273314785646398E-003
 Gradient RMS norm:   6.440716003581034E-003
 Gradient RMS norm:   4.886296483302050E-003
 Gradient RMS norm:   4.823981747161242E-003
 Gradient RMS norm:   5.021606832822446E-003
 Gradient RMS norm:   4.168566911663348E-003
 Gradient RMS norm:   3.286668506348593E-003
 Gradient RMS norm:   2.883661365358784E-003
 Gradient RMS norm:   2.946711347061948E-003
 Gradient RMS norm:   2.696186689584982E-003
 Gradient RMS norm:   2.486782147558754E-003
 Gradient RMS norm:   2.148036833846792E-003
 Gradient RMS norm:   1.907092636476563E-003
 Gradient RMS norm:   1.688840705946890E-003
 Gradient RMS norm:   1.584820668525921E-003
 Gradient RMS norm:   1.490381474481325E-003
 Gradient RMS norm:   1.347058438888516E-003
 Gradient RMS norm:   1.213791564056912E-003
 Gradient RMS norm:   1.102150768367579E-003
 Gradient RMS norm:   1.166951161176315E-003
 Gradient RMS norm:   1.136984407852649E-003
 Gradient RMS norm:   1.296068982813304E-003
 Gradient RMS norm:   1.072121066955929E-003
 Gradient RMS norm:   9.815507265007887E-004
 Gradient RMS norm:   9.645917609545896E-004
 Gradient RMS norm:   9.059406333529434E-004
 Gradient RMS norm:   8.144487891342589E-004
 Gradient RMS norm:   7.813118200698864E-004
 Gradient RMS norm:   6.706189680920468E-004
 Gradient RMS norm:   6.407177870308566E-004
 Gradient RMS norm:   6.869171697209762E-004
 Gradient RMS norm:   8.800719592039849E-004
 Gradient RMS norm:   7.401248103937841E-004
 Gradient RMS norm:   7.960041585361653E-004
 Gradient RMS norm:   7.430965472295046E-004
 Gradient RMS norm:   8.221998242516634E-004
 Gradient RMS norm:   8.221998242516634E-004
 Gradient RMS norm:   7.798680487209949E-004
 Gradient RMS norm:   5.607767042325489E-004
 Gradient RMS norm:   4.167179211110922E-004
 Gradient RMS norm:   2.909389496675201E-004
 Gradient RMS norm:   3.215654590421806E-004
 Gradient RMS norm:   2.777379913928599E-004
 Gradient RMS norm:   3.057563057321018E-004
 Gradient RMS norm:   3.333462617205233E-004
 Gradient RMS norm:   3.950933707103779E-004
 Gradient RMS norm:   4.375894439820373E-004
 Gradient RMS norm:   4.664386518714621E-004
 Gradient RMS norm:   5.512515582808260E-004
 Gradient RMS norm:   4.636628042044087E-004
 Gradient RMS norm:   4.761024856314143E-004
 Gradient RMS norm:   4.142046201763628E-004
 Gradient RMS norm:   3.204785383738458E-004
 Gradient RMS norm:   2.324610889494963E-004
 Gradient RMS norm:   1.923427836799253E-004
 Gradient RMS norm:   1.559997714806054E-004
 Gradient RMS norm:   1.027768060453046E-004
 Gradient RMS norm:   7.726394021657951E-005
 Gradient RMS norm:   8.551611694622465E-005
 Gradient RMS norm:   8.896691967405798E-005
 Gradient RMS norm:   1.103452481129265E-004
 Gradient RMS norm:   1.359313921389234E-004
 Gradient RMS norm:   1.598992109706648E-004
 Gradient RMS norm:   1.585674352157830E-004
 Gradient RMS norm:   1.724640909214276E-004
 Gradient RMS norm:   2.292048469744638E-004
 Gradient RMS norm:   1.525795884151899E-004
 Gradient RMS norm:   1.221236332881430E-004
 Gradient RMS norm:   9.683817038695201E-005
 Gradient RMS norm:   8.817924365696864E-005
 Gradient RMS norm:   7.388554638487406E-005
 Gradient RMS norm:   5.320645599061031E-005
 Gradient RMS norm:   6.335480365250921E-005
 Gradient RMS norm:   5.794728807611178E-005
 Gradient RMS norm:   6.727927619062068E-005
 Gradient RMS norm:   5.446144220475029E-005
 Gradient RMS norm:   5.277182236025542E-005
 Gradient RMS norm:   7.161283224124435E-005
 Gradient RMS norm:   8.942204791597967E-005
 Gradient RMS norm:   1.253503121559182E-004
 Gradient RMS norm:   1.948433999531964E-004
 Gradient RMS norm:   1.364303975169058E-004
 Gradient RMS norm:   1.353755065643162E-004
 Gradient RMS norm:   1.407162346152614E-004
 Gradient RMS norm:   1.414248404344895E-004
 Gradient RMS norm:   1.111305374426824E-004
 Gradient RMS norm:   7.739573684154890E-005
 Gradient RMS norm:   7.739573684154890E-005
 Gradient RMS norm:   7.398946808402885E-005
 Gradient RMS norm:   5.876523162971496E-005
 Gradient RMS norm:   3.934119394424395E-005
 Gradient RMS norm:   4.036432835836910E-005
 Gradient RMS norm:   4.741645273194310E-005
 Gradient RMS norm:   3.542991293485260E-005
 Gradient RMS norm:   3.429486299936746E-005
 Gradient RMS norm:   3.811508392893839E-005
 Gradient RMS norm:   3.837903036320830E-005
 Gradient RMS norm:   4.414794274473551E-005
 Gradient RMS norm:   5.582050989783552E-005
 Gradient RMS norm:   6.320417643514181E-005
 Gradient RMS norm:   6.878350398328412E-005
 Gradient RMS norm:   7.771826800259248E-005
 Gradient RMS norm:   9.158868287511371E-005
 Gradient RMS norm:   5.464815459024642E-005
 Gradient RMS norm:   3.975836083617405E-005
 Gradient RMS norm:   2.942095900570102E-005
