#Rcut	#energy
0.7	-21279.3665056791
0.9	-21326.6991022632
1.1	-21326.5553064690
1.4	-21327.7111766350
1.5	-21327.8499985262
1.7	-21327.8603625173
1.9	-21328.0727147378
2.0	-21328.6216762191
